time,r,r_dot,theta,theta_dot,is_private
1.110000014305114746e+00,1.052971363067626953e+00,-5.355091299861669540e-03,6.979657173156738281e+00,6.283198356628417969e+00,1.000000000000000000e+00
1.120000004768371582e+00,1.052916646003723145e+00,-5.580579396337270737e-03,7.042490482330322266e+00,6.283246994018554688e+00,1.000000000000000000e+00
1.129999995231628418e+00,1.052860021591186523e+00,-5.749856587499380112e-03,7.105325222015380859e+00,6.283314228057861328e+00,1.000000000000000000e+00
1.139999985694885254e+00,1.052801847457885742e+00,-5.862283520400524139e-03,7.168160915374755859e+00,6.283404827117919922e+00,1.000000000000000000e+00
1.149999976158142090e+00,1.052742958068847656e+00,-5.917975679039955139e-03,7.230998516082763672e+00,6.283519744873046875e+00,1.000000000000000000e+00
1.159999966621398926e+00,1.052683711051940918e+00,-5.917793139815330505e-03,7.293824672698974609e+00,6.283661365509033203e+00,1.000000000000000000e+00
1.169999957084655762e+00,1.052624821662902832e+00,-5.863210652023553848e-03,7.356662273406982422e+00,6.283833026885986328e+00,1.000000000000000000e+00
1.179999947547912598e+00,1.052566766738891602e+00,-5.756746046245098114e-03,7.419501781463623047e+00,6.284038066864013672e+00,1.000000000000000000e+00
1.189999938011169434e+00,1.052510023117065430e+00,-5.601478274911642075e-03,7.482343196868896484e+00,6.284276008605957031e+00,1.000000000000000000e+00
1.199999928474426270e+00,1.052455067634582520e+00,-5.400944966822862625e-03,7.545187473297119141e+00,6.284550666809082031e+00,1.000000000000000000e+00
1.209999918937683105e+00,1.052402615547180176e+00,-5.159142892807722092e-03,7.608035087585449219e+00,6.284860134124755859e+00,1.000000000000000000e+00
1.220000028610229492e+00,1.052352547645568848e+00,-4.880524240434169769e-03,7.670887470245361328e+00,6.285206794738769531e+00,1.000000000000000000e+00
1.230000019073486328e+00,1.052305817604064941e+00,-4.570012446492910385e-03,7.733743190765380859e+00,6.285589218139648438e+00,1.000000000000000000e+00
1.240000009536743164e+00,1.052262425422668457e+00,-4.232977051287889481e-03,7.796604633331298828e+00,6.286008358001708984e+00,1.000000000000000000e+00
1.250000000000000000e+00,1.052219748497009277e+00,-3.875159425660967827e-03,7.859459400177001953e+00,6.286459445953369141e+00,1.000000000000000000e+00
1.259999990463256836e+00,1.052182793617248535e+00,-3.502183826640248299e-03,7.922326087951660156e+00,6.286945819854736328e+00,1.000000000000000000e+00
1.269999980926513672e+00,1.052150011062622070e+00,-3.120062407106161118e-03,7.985197544097900391e+00,6.287461757659912109e+00,1.000000000000000000e+00
1.279999971389770508e+00,1.052120447158813477e+00,-2.734651789069175720e-03,8.048073768615722656e+00,6.288006782531738281e+00,1.000000000000000000e+00
1.289999961853027344e+00,1.052094936370849609e+00,-2.351518487557768822e-03,8.110954284667968750e+00,6.288577079772949219e+00,1.000000000000000000e+00
1.299999952316284180e+00,1.052073359489440918e+00,-1.975935418158769608e-03,8.173841476440429688e+00,6.289169788360595703e+00,1.000000000000000000e+00
1.309999942779541016e+00,1.052055120468139648e+00,-1.612884807400405407e-03,8.236732482910156250e+00,6.289780616760253906e+00,1.000000000000000000e+00
1.319999933242797852e+00,1.052040576934814453e+00,-1.267057377845048904e-03,8.299629211425781250e+00,6.290404319763183594e+00,1.000000000000000000e+00
1.329999923706054688e+00,1.052029490470886230e+00,-9.428519988432526588e-04,8.362530708312988281e+00,6.291036605834960938e+00,1.000000000000000000e+00
1.339999914169311523e+00,1.052022099494934082e+00,-6.443076999858021736e-04,8.425463676452636719e+00,6.291666507720947266e+00,1.000000000000000000e+00
1.350000023841857910e+00,1.052017092704772949e+00,-3.744682180695235729e-04,8.488383293151855469e+00,6.292297840118408203e+00,1.000000000000000000e+00
1.360000014305114746e+00,1.052014708518981934e+00,-1.359548332402482629e-04,8.551310539245605469e+00,6.292922019958496094e+00,1.000000000000000000e+00
1.370000004768371582e+00,1.052014350891113281e+00,6.919266161276027560e-05,8.614242553710937500e+00,6.293532371520996094e+00,1.000000000000000000e+00
1.379999995231628418e+00,1.052015900611877441e+00,2.396299096290022135e-04,8.677180290222167969e+00,6.294124603271484375e+00,1.000000000000000000e+00
1.389999985694885254e+00,1.052019000053405762e+00,3.747120208572596312e-04,8.740123748779296875e+00,6.294691562652587891e+00,1.000000000000000000e+00
1.399999976158142090e+00,1.052023291587829590e+00,4.744923789985477924e-04,8.803072929382324219e+00,6.295229911804199219e+00,1.000000000000000000e+00
1.409999966621398926e+00,1.052028656005859375e+00,5.397241911850869656e-04,8.866028785705566406e+00,6.295732498168945312e+00,1.000000000000000000e+00
1.419999957084655762e+00,1.052034258842468262e+00,5.718590691685676575e-04,8.928987503051757812e+00,6.296196937561035156e+00,1.000000000000000000e+00
1.429999947547912598e+00,1.052039623260498047e+00,5.730102420784533024e-04,8.991952896118164062e+00,6.296622276306152344e+00,1.000000000000000000e+00
1.439999938011169434e+00,1.052045226097106934e+00,5.455656209960579872e-04,9.054921150207519531e+00,6.296994686126708984e+00,1.000000000000000000e+00
1.449999928474426270e+00,1.052050471305847168e+00,4.928369307890534401e-04,9.117892265319824219e+00,6.297316074371337891e+00,1.000000000000000000e+00
1.459999918937683105e+00,1.052055001258850098e+00,4.185434372629970312e-04,9.180866241455078125e+00,6.297581672668457031e+00,1.000000000000000000e+00
1.469999909400939941e+00,1.052058815956115723e+00,3.266301937401294708e-04,9.243842124938964844e+00,6.297789573669433594e+00,1.000000000000000000e+00
1.480000019073486328e+00,1.052061676979064941e+00,2.212667168350890279e-04,9.306820869445800781e+00,6.297937393188476562e+00,1.000000000000000000e+00
1.490000009536743164e+00,1.052063345909118652e+00,1.068520796252414584e-04,9.369799613952636719e+00,6.298023700714111328e+00,1.000000000000000000e+00
1.500000000000000000e+00,1.052064061164855957e+00,-1.199223879666533321e-05,9.432779312133789062e+00,6.298048019409179688e+00,1.000000000000000000e+00
1.509999990463256836e+00,1.052063465118408203e+00,-1.304182515013962984e-04,9.495759010314941406e+00,6.298010826110839844e+00,1.000000000000000000e+00
1.519999980926513672e+00,1.052061080932617188e+00,-2.435177593724802136e-04,9.558742523193359375e+00,6.297900199890136719e+00,1.000000000000000000e+00
1.530000090599060059e+00,1.052057862281799316e+00,-3.466717025730758905e-04,9.621721267700195312e+00,6.297737598419189453e+00,1.000000000000000000e+00
1.540000081062316895e+00,1.052053809165954590e+00,-4.351099487394094467e-04,9.684697151184082031e+00,6.297515869140625000e+00,1.000000000000000000e+00
1.550000071525573730e+00,1.052049160003662109e+00,-5.045072757638990879e-04,9.747670173645019531e+00,6.297235488891601562e+00,1.000000000000000000e+00
1.560000061988830566e+00,1.052043676376342773e+00,-5.510217742994427681e-04,9.810639381408691406e+00,6.296901702880859375e+00,1.000000000000000000e+00
1.570000052452087402e+00,1.052037835121154785e+00,-5.712962010875344276e-04,9.873603820800781250e+00,6.296515941619873047e+00,1.000000000000000000e+00
1.580000042915344238e+00,1.052031993865966797e+00,-5.624578334391117096e-04,9.936562538146972656e+00,6.296081542968750000e+00,1.000000000000000000e+00
1.590000033378601074e+00,1.052026391029357910e+00,-5.221185856498777866e-04,9.999514579772949219e+00,6.295604705810546875e+00,1.000000000000000000e+00
1.600000023841857910e+00,1.052021026611328125e+00,-4.483749216888099909e-04,1.006245994567871094e+01,6.295090198516845703e+00,1.000000000000000000e+00
1.610000014305114746e+00,1.052018523216247559e+00,-3.399138222448527813e-04,1.012543201446533203e+01,6.294544696807861328e+00,1.000000000000000000e+00
1.620000004768371582e+00,1.052015900611877441e+00,-1.961920788744464517e-04,1.018837451934814453e+01,6.293969154357910156e+00,1.000000000000000000e+00
1.629999995231628418e+00,1.052014589309692383e+00,-1.731999145704321563e-05,1.025131225585937500e+01,6.293370723724365234e+00,1.000000000000000000e+00
1.639999985694885254e+00,1.052015542984008789e+00,1.959296059794723988e-04,1.031424427032470703e+01,6.292755126953125000e+00,1.000000000000000000e+00
1.649999976158142090e+00,1.052018642425537109e+00,4.421198682393878698e-04,1.037716865539550781e+01,6.292127609252929688e+00,1.000000000000000000e+00
1.660000085830688477e+00,1.052024006843566895e+00,7.191533804871141911e-04,1.044008922576904297e+01,6.291493415832519531e+00,1.000000000000000000e+00
1.670000076293945312e+00,1.052032589912414551e+00,1.024259021505713463e-03,1.050300407409667969e+01,6.290858268737792969e+00,1.000000000000000000e+00
1.680000066757202148e+00,1.052043795585632324e+00,1.354010892100632191e-03,1.056591129302978516e+01,6.290226459503173828e+00,1.000000000000000000e+00
1.690000057220458984e+00,1.052060365676879883e+00,1.704343128949403763e-03,1.062880134582519531e+01,6.289614677429199219e+00,1.000000000000000000e+00
1.700000047683715820e+00,1.052079200744628906e+00,2.071001799777150154e-03,1.069169425964355469e+01,6.289008617401123047e+00,1.000000000000000000e+00
1.710000038146972656e+00,1.052102088928222656e+00,2.448971150442957878e-03,1.075458145141601562e+01,6.288421154022216797e+00,1.000000000000000000e+00
1.720000028610229492e+00,1.052128434181213379e+00,2.832912141457200050e-03,1.081746387481689453e+01,6.287855625152587891e+00,1.000000000000000000e+00
1.730000019073486328e+00,1.052158951759338379e+00,3.217397490516304970e-03,1.088034152984619141e+01,6.287316322326660156e+00,1.000000000000000000e+00
1.740000009536743164e+00,1.052193284034729004e+00,3.596910275518894196e-03,1.094321250915527344e+01,6.286807060241699219e+00,1.000000000000000000e+00
1.750000000000000000e+00,1.052231550216674805e+00,3.965843468904495239e-03,1.100608062744140625e+01,6.286328315734863281e+00,1.000000000000000000e+00
1.759999990463256836e+00,1.052273392677307129e+00,4.318501334637403488e-03,1.106894493103027344e+01,6.285884380340576172e+00,1.000000000000000000e+00
1.769999980926513672e+00,1.052318930625915527e+00,4.649098496884107590e-03,1.113180732727050781e+01,6.285473346710205078e+00,1.000000000000000000e+00
1.779999971389770508e+00,1.052364587783813477e+00,4.951850045472383499e-03,1.119464588165283203e+01,6.285108089447021484e+00,1.000000000000000000e+00
1.790000081062316895e+00,1.052415490150451660e+00,5.221728235483169556e-03,1.125749492645263672e+01,6.284771442413330078e+00,1.000000000000000000e+00
1.800000071525573730e+00,1.052468895912170410e+00,5.453653633594512939e-03,1.132034111022949219e+01,6.284471988677978516e+00,1.000000000000000000e+00
1.810000061988830566e+00,1.052524328231811523e+00,5.643023643642663956e-03,1.138318538665771484e+01,6.284207820892333984e+00,1.000000000000000000e+00
1.820000052452087402e+00,1.052581429481506348e+00,5.785868968814611435e-03,1.144602584838867188e+01,6.283979415893554688e+00,1.000000000000000000e+00
1.830000042915344238e+00,1.052639722824096680e+00,5.878858268260955811e-03,1.150886631011962891e+01,6.283785343170166016e+00,1.000000000000000000e+00
1.840000033378601074e+00,1.052698850631713867e+00,5.919297225773334503e-03,1.157170486450195312e+01,6.283624172210693359e+00,1.000000000000000000e+00
1.850000023841857910e+00,1.052757859230041504e+00,5.905130412429571152e-03,1.163454341888427734e+01,6.283492088317871094e+00,1.000000000000000000e+00
1.860000014305114746e+00,1.052816987037658691e+00,5.834935232996940613e-03,1.169738101959228516e+01,6.283389091491699219e+00,1.000000000000000000e+00
1.870000004768371582e+00,1.052874684333801270e+00,5.707940086722373962e-03,1.176020431518554688e+01,6.283291816711425781e+00,1.000000000000000000e+00
1.879999995231628418e+00,1.052931070327758789e+00,5.524198058992624283e-03,1.182303714752197266e+01,6.283230304718017578e+00,1.000000000000000000e+00
1.889999985694885254e+00,1.052985191345214844e+00,5.284637678414583206e-03,1.188586807250976562e+01,6.283187866210937500e+00,1.000000000000000000e+00
1.899999976158142090e+00,1.053036808967590332e+00,4.990874323993921280e-03,1.194869995117187500e+01,6.283160209655761719e+00,1.000000000000000000e+00
1.909999966621398926e+00,1.053085207939147949e+00,4.645199980586767197e-03,1.201152992248535156e+01,6.283145427703857422e+00,1.000000000000000000e+00
1.920000076293945312e+00,1.053130030632019043e+00,4.250579513609409332e-03,1.207435989379882812e+01,6.283141136169433594e+00,1.000000000000000000e+00
1.930000066757202148e+00,1.053170561790466309e+00,3.810668364167213440e-03,1.213718891143798828e+01,6.283143520355224609e+00,1.000000000000000000e+00
1.940000057220458984e+00,1.053206801414489746e+00,3.329786937683820724e-03,1.220001792907714844e+01,6.283151149749755859e+00,1.000000000000000000e+00
1.950000047683715820e+00,1.053237795829772949e+00,2.812937600538134575e-03,1.226284503936767578e+01,6.283161640167236328e+00,1.000000000000000000e+00
1.960000038146972656e+00,1.053261399269104004e+00,2.265690825879573822e-03,1.232568931579589844e+01,6.283175468444824219e+00,1.000000000000000000e+00
